"Time (s)"	"Pressure (hPa)"	"Height (m)"	"Time (velocity) (s)"	"Velocity (m/s)"
1.000056647E0	1.013210494E3	0.000000000E0	1.550053062E0	8.349425414E-2
2.100049477E0	1.013199463E3	9.184308090E-2	2.600134584E0	2.613684475E-1
3.100219691E0	1.013168066E3	3.532560170E-1	3.601739088E0	7.079106505E-1
4.103258485E0	1.013082788E3	1.063317862E0	4.603425483E0	9.600608991E-1
5.103592481E0	1.012967456E3	2.023699418E0	5.603676196E0	9.442468079E-1
6.103759912E0	1.012854053E3	2.968104322E0	6.603759912E0	9.129736454E-1
7.103759912E0	1.012744434E3	3.881077967E0	7.603759912E0	9.057401875E-1
8.103759912E0	1.012635693E3	4.786818155E0	8.603759912E0	9.629574600E-1
9.103759912E0	1.012520093E3	5.749775615E0	9.603759911E0	9.606137652E-1
1.010375991E1	1.012404785E3	6.710389378E0	1.060375991E1	1.009927950E0
1.110375991E1	1.012283569E3	7.720317328E0	1.165375988E1	8.432176095E-1
1.220375984E1	1.012172252E3	8.647856639E0	1.270375998E1	1.137978616E0
1.320376011E1	1.012035693E3	9.785835563E0	1.375376007E1	7.479863132E-1
1.430376004E1	1.011936967E3	1.060862045E1	1.480376006E1	1.041062760E0
1.530376007E1	1.011812061E3	1.164968325E1	1.585375994E1	9.173243608E-1
1.640375981E1	1.011691007E3	1.265873980E1	1.690375982E1	1.034448183E0
1.740375984E1	1.011566919E3	1.369318802E1	1.795375982E1	9.354831640E-1
1.850375980E1	1.011443493E3	1.472221946E1	1.905375964E1	9.804899989E-1
1.960375947E1	1.011314142E3	1.580075814E1	2.015375946E1	8.414309075E-1
2.070375944E1	1.011203147E3	1.672633211E1	2.120375947E1	1.010474240E0
2.170375950E1	1.011081982E3	1.773680641E1	2.220375967E1	9.466478086E-1
2.270375984E1	1.010968481E3	1.868345454E1	2.320375986E1	9.770725167E-1
2.370375987E1	1.010851343E3	1.966052709E1	2.420375987E1	9.616891189E-1
2.470375987E1	1.010736060E3	2.062221621E1	2.525375985E1	8.862515582E-1
2.580375983E1	1.010619207E3	2.159709288E1	2.635375983E1	8.690018943E-1
2.690375983E1	1.010504639E3	2.255299497E1	2.740375998E1	1.109048823E0
2.790376013E1	1.010371729E3	2.366204412E1	2.840376018E1	9.241698125E-1
2.890376023E1	1.010260986E3	2.458621403E1	2.945376023E1	9.199440055E-1
3.000376023E1	1.010139737E3	2.559815243E1	3.055376010E1	9.653361300E-1
3.110375996E1	1.010012518E3	2.666002192E1	3.165375988E1	6.258717822E-1
3.220375979E1	1.009930043E3	2.734848077E1	3.270375981E1	3.608549212E-1
3.320375982E1	1.009886816E3	2.770933570E1	3.375375979E1	1.943580075E-2
3.430375976E1	1.009884255E3	2.773071508E1	3.480375978E1	-3.891027009E-2
3.530375979E1	1.009888916E3	2.769180481E1	3.585375978E1	5.609138449E-2
3.640375976E1	1.009881525E3	2.775350533E1	3.690375976E1	-4.213270510E-2
3.740375976E1	1.009886572E3	2.771137263E1	3.790375978E1	5.292666342E-3
3.840375979E1	1.009885938E3	2.771666529E1	3.895375978E1	-6.100133086E-2
3.950375976E1	1.009893976E3	2.764956383E1	4.000375978E1	5.345239703E-2
4.050375979E1	1.009887573E3	2.770301623E1	4.100472912E1	2.986154666E-2
4.150569846E1	1.009883989E3	2.773293567E1	4.200569944E1	-7.964847099E-2
4.250570042E1	1.009893530E3	2.765328704E1	4.300570095E1	-1.078138202E-1
4.350570149E1	1.009906445E3	2.754547311E1	4.400572908E1	-5.616436063E-1
4.450575667E1	1.009973730E3	2.698379851E1	4.500575680E1	-9.551484556E-1
4.550575694E1	1.010088159E3	2.602864979E1	4.600575712E1	-1.073647459E0
4.650575731E1	1.010216797E3	2.495500194E1	4.700575749E1	-8.590018408E-1
4.750575767E1	1.010319727E3	2.409599979E1	4.800575767E1	-8.902980923E-1
4.850575767E1	1.010426416E3	2.320570170E1	4.900575767E1	-9.733335158E-1
4.950575767E1	1.010543066E3	2.223236818E1	5.000575767E1	-9.610285609E-1
5.050575767E1	1.010658252E3	2.127133962E1	5.100575767E1	-1.071931206E0
5.150575767E1	1.010786743E3	2.019940841E1	5.200575767E1	-8.683860110E-1
5.250575767E1	1.010890845E3	1.933102240E1	5.300575767E1	-9.238954877E-1
5.350575767E1	1.011001611E3	1.840712691E1	5.405572417E1	-8.867922828E-1
5.460569067E1	1.011118564E3	1.743171482E1	5.515550700E1	-1.045255088E0
5.570532333E1	1.011256392E3	1.628231818E1	5.625513966E1	-8.891359134E-1
5.680495599E1	1.011373646E3	1.530459529E1	5.735485582E1	-1.055147142E0
5.790475565E1	1.011512828E3	1.414414483E1	5.840475565E1	-9.713866024E-1
5.890475565E1	1.011629346E3	1.317275822E1	5.940475565E1	-9.319017611E-1
5.990475565E1	1.011741138E3	1.224085646E1	6.040475565E1	-8.538783166E-1
6.090475565E1	1.011843579E3	1.138697815E1	6.140475565E1	-1.047720517E0
6.190475565E1	1.011969287E3	1.033925763E1	6.240475565E1	-9.570817764E-1
6.290475565E1	1.012084131E3	9.382175854E0	6.340475565E1	-9.661430424E-1
6.390475565E1	1.012200073E3	8.416032812E0	6.440475565E1	-9.579215734E-1
6.490475565E1	1.012315039E3	7.458111239E0	6.540475565E1	-9.572253228E-1
6.590475565E1	1.012429932E3	6.500885916E0	6.640475565E1	-9.007993845E-1
6.690475565E1	1.012538062E3	5.600086531E0	6.740475565E1	-9.932465812E-1
6.790475565E1	1.012657300E3	4.606839950E0	6.840475565E1	-1.066761200E0
6.890475565E1	1.012785376E3	3.540078750E0	6.945470565E1	-8.989405144E-1
7.000465565E1	1.012904097E3	2.551334079E0	7.055447232E1	-9.694832619E-1
7.110428898E1	1.013032116E3	1.485257971E0	7.165410564E1	-7.571213791E-1
7.220392230E1	1.013132102E3	6.527020754E-1	7.275383896E1	-4.376989413E-1
7.330375563E1	1.013189919E3	1.713061913E-1	7.380375563E1	-7.336019180E-2
7.430375563E1	1.013198730E3	9.794599947E-2	7.485358926E1	-5.109122734E-2
7.540342289E1	1.013205478E3	4.176264949E-2	7.595323985E1	9.209288354E-2
7.650305682E1	1.013193315E3	1.430311089E-1	7.705290712E1	-9.040652480E-2
7.760275741E1	1.013205256E3	4.361100028E-2	7.810275741E1	8.742200880E-4
7.860275741E1	1.013205151E3	4.448522037E-2	7.910275741E1	-8.435773729E-2
7.960275741E1	1.013215283E3	-3.987251691E-2	8.015259044E1	5.810946509E-2
8.070242347E1	1.013207608E3	2.402848961E-2	8.125213968E1	2.268842937E-2
8.180185590E1	1.013204612E3	4.897288464E-2	NaN	NaN
