1.502943211999999917e+00 7.200494775710925000e-02
2.503470794500000096e+00 -2.194690190993897269e-02
3.552984592500000094e+00 8.173390603829895629e-02
4.602301804999999746e+00 -4.832406869759311302e-02
5.652301687999999658e+00 4.124395709589243758e-02
6.702301520999999873e+00 2.252188600000001872e-02
7.702301521000000761e+00 -2.845833069999998202e-02
8.702301521000000761e+00 7.378533500000000744e-02
9.702301520500000720e+00 5.151131293151131052e-01
1.070230152000000068e+01 8.149941982999999723e-01
1.170230152000000068e+01 9.752690330000000074e-01
1.270230152000000068e+01 9.243222650000002538e-01
1.370230152000000068e+01 9.923306530000002290e-01
1.470230152000000068e+01 1.022522369999999903e+00
1.570230151999999890e+01 9.778766330000010498e-01
1.670230151999999890e+01 9.228369130000002585e-01
1.770230151999999890e+01 8.069723500000005600e-01
1.875211851999999979e+01 8.902409210700998887e-01
1.985175249999999991e+01 9.572463513222182474e-01
2.095143647500000128e+01 8.430334866707163144e-01
2.200130346999999986e+01 1.013618279999999316e+00
2.305113648500000068e+01 1.012318712800466924e+00
2.415078583000000023e+01 8.815633849944050082e-01
2.525045182499999896e+01 9.329154633566973942e-01
2.630030148999999895e+01 1.090229050000001365e+00
2.735011815000000013e+01 9.255996717160196452e-01
2.844975147499999935e+01 9.282007212349600023e-01
2.954943480500000064e+01 8.758561677856930849e-01
3.059930147000000034e+01 1.028891770000001316e+00
3.159930163499999978e+01 9.413918193407012636e-01
3.259930179999999922e+01 8.962461499999996306e-01
3.359930179999999922e+01 1.099853100000000694e+00
3.464930163500000049e+01 7.591339368310874303e-01
3.569930147000000176e+01 1.006581650000001105e+00
3.669930147000000176e+01 9.487521399999998550e-01
3.769930147000000176e+01 8.448955199999979016e-01
3.869930147000000176e+01 4.595711500000021488e-01
3.969930147000000176e+01 2.115527899999989359e-01
4.069930147000000176e+01 -2.792400999999955502e-02
4.169930147000000176e+01 7.235213999999956513e-02
4.269930163499999765e+01 -6.114078982354069491e-02
4.369930180000000064e+01 -8.193513999999879616e-02
4.469930194999999884e+01 7.765260670421759992e-02
4.569949312999999336e+01 -5.540927033417466369e-02
