"Time (s)"	"Acceleration (m/s²)"
4.997945000E-2	7.283606052E0
9.997530500E-2	6.889159775E0
1.499722660E-1	7.002071953E0
1.999700430E-1	5.691106796E0
2.499680770E-1	3.498591423E0
2.999664630E-1	8.935096741E-1
3.399667960E-1	9.206771851E-3
3.799671290E-1	-1.443085670E-1
4.199673280E-1	-1.247887611E-1
4.699664270E-1	-1.374897003E-1
5.099664270E-1	-1.316697598E-1
5.499664270E-1	-2.904343605E-2
5.899667600E-1	-4.956245422E-3
6.399664260E-1	-5.040359497E-3
6.899658240E-1	-8.402061462E-2
7.399656570E-1	-1.764997482E-1
7.799664570E-1	9.123563766E-2
8.199667900E-1	-1.618170738E-2
8.699664560E-1	-1.021177292E-1
9.099664560E-1	1.290845871E-2
9.499666220E-1	2.448964119E-2
9.999663540E-1	-6.701183319E-2
1.049966020E0	4.950809479E-2
1.089966353E0	-1.261463165E-1
1.129966753E0	6.161928177E-2
1.169966952E0	4.194378853E-2
1.209966952E0	-4.662561417E-2
1.259966785E0	2.322181702E-1
1.299966951E0	5.213754177E-1
1.339967316E0	4.071388245E-1
1.389967282E0	1.002464294E-2
1.439966247E0	1.556732178E-1
1.489966080E0	5.759069443E-1
1.529966413E0	7.138037682E-1
1.569966746E0	5.512497425E-1
1.619966412E0	3.920375824E-1
1.659966412E0	4.439005852E-1
1.709966278E0	8.551612854E-1
1.749966844E0	6.253957748E-1
1.789966844E0	4.381914139E-1
1.829967143E0	3.182606697E-1
1.879966775E0	6.005048752E-1
1.919966941E0	4.103567600E-1
1.959966941E0	5.410244465E-1
2.009966774E0	4.753610611E-1
2.059966474E0	4.087602615E-1
2.109965840E0	5.704469681E-1
2.149965873E0	5.997517109E-1
2.189965873E0	4.687614441E-1
2.229966039E0	6.060435772E-1
2.269966039E0	4.580066204E-1
2.309966705E0	4.329569340E-1
2.349966705E0	7.488458157E-1
2.399966271E0	4.439117432E-1
2.439966437E0	4.227943420E-1
2.479966437E0	5.848577023E-1
2.529965669E0	2.481327057E-1
2.569966002E0	5.082702637E-1
2.619966001E0	4.627340317E-1
2.660032667E0	4.231104851E-1
2.700165965E0	6.347031593E-1
2.740299130E0	7.008981705E-1
2.780432462E0	4.898514748E-1
2.820566894E0	4.071607590E-1
2.860699926E0	5.434148312E-1
2.900832892E0	4.606633186E-1
2.940965791E0	3.327255249E-1
2.980966124E0	4.443531036E-1
3.020966156E0	4.464521408E-1
3.060966789E0	2.739663124E-1
3.100967455E0	2.518527508E-1
3.150966386E0	6.051897049E-1
3.200966419E0	5.063095093E-2
3.242981188E0	-1.207923889E-2
3.292980854E0	3.808469772E-1
3.332981320E0	3.747146130E-1
3.382980985E0	-2.228809357E-1
3.432981350E0	2.455570221E-1
3.472981416E0	3.878762722E-1
3.522981082E0	3.447423935E-1
3.572980915E0	2.747301102E-1
3.612981248E0	-1.498436928E-1
3.662980480E0	-5.597583771E-1
3.702980813E0	-2.621929646E-1
3.752980712E0	-2.952377319E-1
3.792980712E0	-5.535817146E-2
3.832980712E0	4.113817215E-2
3.872981578E0	2.122223377E-1
3.922980910E0	1.771800995E-1
3.962982009E0	4.294412136E-1
4.012981675E0	-1.254310608E-2
4.052981708E0	-2.849495411E-1
4.092982374E0	-2.040457726E-2
4.132982374E0	-2.481484413E-1
4.172982374E0	-2.545580864E-1
4.212982707E0	2.856154442E-1
4.262982039E0	1.259181976E-1
4.302982039E0	-6.051993370E-2
4.352982038E0	2.849349976E-2
4.402981370E0	6.350002289E-2
4.452981369E0	1.566251755E-1
4.492981369E0	-1.021552086E-1
4.542981035E0	-3.108526230E-1
4.582981368E0	-4.435300827E-2
4.622981701E0	-6.865978241E-3
4.672981367E0	7.309932709E-2
4.712981700E0	-1.509833336E-2
4.762981666E0	-1.024749756E-1
4.802981999E0	2.144591808E-1
4.842982332E0	3.035607338E-1
4.882982332E0	-1.160113811E-1
4.932982331E0	-1.526222229E-1
4.972982664E0	2.085337639E-1
5.022982330E0	1.037624359E-1
5.072982030E0	-1.516651154E-1
5.122982029E0	-1.550600052E-1
5.172981695E0	-1.071514130E-1
5.212982028E0	-1.022198200E-1
5.262981660E0	3.370481491E-1
5.302981993E0	-1.313664913E-1
5.342982326E0	-3.233611584E-1
5.382982326E0	7.637929916E-2
5.432981992E0	9.780254364E-2
5.472982325E0	1.119470596E-1
5.522982024E0	-2.219314575E-2
5.562982024E0	-2.316370010E-1
5.602982357E0	-9.601521492E-2
5.642982357E0	9.949207306E-2
5.682982357E0	2.033386230E-1
5.722982657E0	-3.271293640E-2
5.772981989E0	-1.663341522E-1
5.812981989E0	6.806325912E-2
5.862981988E0	2.632324219E-1
5.912981320E0	-1.555824280E-2
5.952981653E0	-3.385725021E-1
5.992981653E0	4.863929749E-2
6.032981686E0	2.584228516E-1
6.072982019E0	2.098035812E-2
6.112982352E0	-3.084659576E-1
6.162982018E0	-4.051614761E-1
6.202982351E0	8.358907700E-2
6.252981983E0	1.123714447E-1
6.292981983E0	-6.776499748E-2
6.332981983E0	1.865873337E-1
6.372982316E0	3.784596920E-1
6.422982315E0	-1.603963852E-1
6.462982648E0	-3.706126213E-1
6.512982314E0	1.986644745E-1
6.562982014E0	1.086053848E-1
6.602982347E0	-3.913006783E-1
6.652982013E0	1.183166504E-2
6.692982013E0	2.564885616E-1
6.732982312E0	-5.177927017E-2
