"Time (s)"	"Pressure (hPa)"	"Height (m)"	"Time (velocity) (s)"	"Velocity (m/s)"
2.800032826E1	1.011138013E3	1.714938034E1	2.850032826E1	1.053714179E0
2.900032826E1	1.011011670E3	1.820309452E1	2.950032826E1	9.428310840E-1
3.000032826E1	1.010898633E3	1.914592560E1	3.055026143E1	9.040676665E-1
3.110019460E1	1.010779430E3	2.014027920E1	3.165001093E1	8.821466976E-1
3.219982726E1	1.010663153E3	2.111031651E1	3.274964359E1	9.967500767E-1
3.329945992E1	1.010531783E3	2.220637545E1	3.384939308E1	8.873616336E-1
3.439932625E1	1.010414817E3	2.318235464E1	3.489932625E1	1.030874400E0
3.539932625E1	1.010291284E3	2.421322904E1	3.589932625E1	9.018035852E-1
3.639932625E1	1.010183228E3	2.511503262E1	3.689932625E1	1.045555985E0
3.739932625E1	1.010057959E3	2.616058861E1	3.789939292E1	7.848929571E-1
3.839945958E1	1.009963916E3	2.694558621E1	3.889962658E1	5.464117233E-1
3.939979357E1	1.009898438E3	2.749218043E1	3.989996057E1	1.799070652E-1
4.040012757E1	1.009876880E3	2.767214759E1	4.090022790E1	9.982349837E-3
4.140032823E1	1.009875684E3	2.768213194E1	4.190032823E1	6.297844664E-2
4.240032823E1	1.009868140E3	2.774511039E1	4.290032823E1	-1.627894118E-3
4.340032823E1	1.009868335E3	2.774348249E1	4.395032818E1	2.672937658E-2
4.450032813E1	1.009864813E3	2.777288480E1	4.505032778E1	-5.272255123E-2
4.560032743E1	1.009871760E3	2.771489003E1	4.610050447E1	3.408183853E-2
4.660068151E1	1.009867676E3	2.774898394E1	4.710068156E1	-4.912056303E-2
4.760068161E1	1.009873560E3	2.769986337E1	4.810068196E1	-1.000685957E-1
4.860068231E1	1.009885547E3	2.759979471E1	4.910068231E1	8.784699692E-2
4.960068231E1	1.009875024E3	2.768764170E1	5.010068231E1	7.764624268E-2
5.060068231E1	1.009865723E3	2.776528795E1	5.110068231E1	4.282623297E-3
5.160068231E1	1.009865210E3	2.776957057E1	5.210068231E1	-3.873561887E-3
5.260068231E1	1.009865674E3	2.776569701E1	5.310068231E1	-4.973006192E-2
5.360068231E1	1.009871631E3	2.771596695E1	5.410068231E1	-4.892016092E-3
5.460068231E1	1.009872217E3	2.771107493E1	5.510068231E1	3.749994998E-2
5.560068231E1	1.009867725E3	2.774857488E1	5.610068231E1	-7.129341939E-3
5.660068231E1	1.009868579E3	2.774144554E1	5.710068231E1	-4.810206006E-2
5.760068231E1	1.009874341E3	2.769334348E1	5.810068231E1	-5.792191763E-1
5.860068231E1	1.009943726E3	2.711412430E1	5.910068231E1	-9.539446935E-1
5.960068231E1	1.010058008E3	2.616017961E1	6.010068231E1	-7.967567180E-1
6.060068231E1	1.010153467E3	2.536342289E1	6.110068231E1	-9.678464820E-1
6.160068231E1	1.010269434E3	2.439557641E1	6.210068231E1	-9.078579938E-1
6.260068231E1	1.010378223E3	2.348771841E1	6.310068231E1	-9.375169483E-1
6.360068231E1	1.010490576E3	2.255020147E1	6.410068231E1	-9.610689794E-1
6.460068231E1	1.010605762E3	2.158913249E1	6.510068231E1	-9.434610831E-1
6.560068231E1	1.010718848E3	2.064567140E1	6.610068231E1	-9.865439774E-1
6.660068231E1	1.010837109E3	1.965912743E1	6.710068231E1	-9.365717932E-1
6.760068231E1	1.010949390E3	1.872255563E1	6.810068231E1	-9.320005452E-1
6.860068231E1	1.011061133E3	1.779055509E1	6.910068231E1	-9.217346685E-1
6.960068231E1	1.011171655E3	1.686882042E1	7.010068231E1	-9.872119292E-1
7.060068231E1	1.011290039E3	1.588160849E1	7.110068231E1	-1.016025750E0
7.160068231E1	1.011411890E3	1.486558274E1	7.210068231E1	-9.131303866E-1
7.260068231E1	1.011521411E3	1.395245235E1	7.310068231E1	-1.060203341E0
7.360068231E1	1.011648584E3	1.289224901E1	7.410068231E1	-8.940356958E-1
7.460068231E1	1.011755835E3	1.199821332E1	7.510068231E1	-9.261064142E-1
7.560068231E1	1.011866943E3	1.107210690E1	7.610068231E1	-9.793370488E-1
7.660068231E1	1.011984448E3	1.009276985E1	7.710068231E1	-1.034994295E0
7.760068231E1	1.012108643E3	9.057775559E0	7.810068248E1	-1.005386130E0
7.860068264E1	1.012229297E3	8.052389098E0	7.910068264E1	-8.659591460E-1
7.960068264E1	1.012333228E3	7.186429952E0	8.010068264E1	-9.726652916E-1
8.060068264E1	1.012449976E3	6.213764660E0	8.115068247E1	-9.718447653E-1
8.170068230E1	1.012578303E3	5.144735749E0	8.220068230E1	-9.697759876E-1
8.270068230E1	1.012694727E3	4.174959761E0	8.320068230E1	-9.134180281E-1
8.370068230E1	1.012804395E3	3.261541733E0	8.420068230E1	-9.977069848E-1
8.470068230E1	1.012924194E3	2.263834748E0	8.520068230E1	-9.061391858E-1
8.570068230E1	1.013033008E3	1.357695562E0	8.620068230E1	-7.511562340E-1
8.670068230E1	1.013123218E3	6.065393283E-1	8.720068230E1	-3.813528080E-1
8.770068230E1	1.013169019E3	2.251865203E-1	8.825068208E1	-1.640767104E-1
8.880068187E1	1.013190696E3	4.470220939E-2	8.930068287E1	-1.162301086E-1
8.980068387E1	1.013204656E3	-7.152813162E-2	9.030068387E1	-5.270287204E-2
9.080068387E1	1.013210986E3	-1.242310037E-1	9.130068387E1	-2.113935511E-2
9.180068387E1	1.013213525E3	-1.453703588E-1	9.230117061E1	6.620120631E-2
9.280165736E1	1.013205566E3	-7.910470625E-2	9.330165736E1	2.256322200E-2
9.380165736E1	1.013202856E3	-5.654148425E-2	9.430165736E1	-3.536845319E-2
9.480165736E1	1.013207104E3	-9.190993744E-2	9.530165736E1	3.673115673E-1
9.580165736E1	1.013162988E3	2.754016299E-1	9.630165736E1	9.029890759E-1
9.680165736E1	1.013054541E3	1.178390706E0	9.730165736E1	9.492191767E-1
9.780165736E1	1.012940552E3	2.127609882E0	9.830165736E1	9.600826605E-1
9.880165736E1	1.012825269E3	3.087692543E0	9.930165736E1	9.245888585E-1
9.980165736E1	1.012714258E3	4.012281401E0	1.003016574E2	9.382986355E-1
1.008016574E2	1.012601611E3	4.950580074E0	1.013016574E2	1.018099722E0
1.018016574E2	1.012479395E3	5.968679796E0	1.023016574E2	9.213870466E-1
1.028016574E2	1.012368799E3	6.890066843E0	1.033016574E2	8.278899006E-1
1.038016574E2	1.012269434E3	7.717956743E0	1.043016574E2	5.632926931E-1
1.048016574E2	1.012201831E3	8.281249436E0	1.053016574E2	3.159348525E-1
1.058016574E2	1.012163916E3	8.597184289E0	1.063016574E2	9.947792372E-2
1.068016574E2	1.012151978E3	8.696662213E0	1.073016574E2	6.653024560E-2
1.078016574E2	1.012143994E3	8.763192458E0	1.083515240E2	-1.046414838E-1
1.089013907E2	1.012157804E3	8.648114734E0	1.094013907E2	9.798681025E-2
1.099013907E2	1.012146045E3	8.746101544E0	NaN	NaN
