"Time (s)"	"Pressure (hPa)"	"Height (m)"	"Time (velocity) (s)"	"Velocity (m/s)"
1.099971298E0	1.013196065E3	0.000000000E0	1.649968691E0	7.372302598E-3
2.199966083E0	1.013195091E3	8.109494411E-3	2.750646734E0	-9.056529139E-3
3.301327384E0	1.013196289E3	-1.865016304E-3	3.851327200E0	1.662924275E-2
4.401327017E0	1.013194092E3	1.642714462E-2	4.901327017E0	1.146493686E-1
5.401327017E0	1.013180322E3	1.310765133E-1	5.901327150E0	-9.126996766E-2
6.401327283E0	1.013191284E3	3.980652131E-2	6.951327200E0	-4.645139396E-2
7.501327116E0	1.013197421E3	-1.129000429E-2	8.001327116E0	2.650155596E-2
8.501327116E0	1.013194238E3	1.521155168E-2	9.001327116E0	1.028513205E-1
9.501327116E0	1.013181885E3	1.180628722E-1	1.000132720E1	5.807671538E-1
1.050132728E1	1.013112134E3	6.988301213E-1	1.100132728E1	9.184811598E-1
1.150132728E1	1.013001831E3	1.617311281E0	1.200132728E1	9.153058979E-1
1.250132728E1	1.012891919E3	2.532617179E0	1.300132728E1	8.552031489E-1
1.350132728E1	1.012789233E3	3.387820328E0	1.400132728E1	8.711241406E-1
1.450132728E1	1.012684644E3	4.258944468E0	1.500132728E1	1.000347158E0
1.550132728E1	1.012564551E3	5.259291626E0	1.600132728E1	9.711515770E-1
1.650132728E1	1.012447974E3	6.230443203E0	1.705121078E1	9.565148951E-1
1.760109428E1	1.012321711E3	7.282386720E0	1.815091111E1	1.016280373E0
1.870072794E1	1.012187589E3	8.399922826E0	1.925054477E1	8.414640314E-1
1.980036160E1	1.012076549E3	9.325224998E0	2.035034493E1	1.040221042E0
2.090032826E1	1.011939253E3	1.046943346E1	2.140032826E1	9.585763577E-1
2.190032826E1	1.011824243E3	1.142800982E1	2.240032826E1	9.450687859E-1
2.290032826E1	1.011710864E3	1.237307861E1	2.340032826E1	9.223539204E-1
2.390032826E1	1.011600220E3	1.329543253E1	2.445032801E1	9.081118961E-1
2.500032776E1	1.011480402E3	1.429435516E1	2.550032776E1	1.061413381E0
2.600032776E1	1.011353101E3	1.535576854E1	2.650032776E1	1.007317562E0
2.700032776E1	1.011232300E3	1.636308610E1	2.750032801E1	7.862938413E-1
