"Time (s)"	"Acceleration (m/s²)"
4.000000000E-2	-9.316173553E-1
8.000000000E-2	-9.295766354E-1
1.200031680E-1	-9.197072983E-1
1.600031680E-1	-9.165563583E-1
2.000036680E-1	-9.246807098E-1
2.500032750E-1	-9.139678955E-1
2.900032750E-1	-9.104588032E-1
3.300032750E-1	-9.184281826E-1
3.700036080E-1	-9.112417698E-1
4.200024740E-1	-4.749603271E-2
4.600028070E-1	4.792761803E-2
5.100031060E-1	1.633083344E-1
5.500037050E-1	2.059209347E-1
5.900037050E-1	-1.027429104E-1
6.300040380E-1	1.316857338E-1
6.700040380E-1	1.285207272E-1
7.100040380E-1	-8.326482773E-2
7.600040370E-1	-2.797445297E-1
8.100038700E-1	1.266935349E-1
8.600031010E-1	-7.023410797E-2
9.000031010E-1	1.676163673E-1
9.500027670E-1	2.431486130E-1
9.900029330E-1	-2.826893330E-1
1.030002933E0	1.219489574E-1
1.080002499E0	1.998418808E-1
1.120002532E0	-2.400569916E-1
1.170002897E0	2.077844620E-1
1.210002897E0	4.363059998E-4
1.250002897E0	7.965564728E-4
1.300002730E0	5.915300369E-1
1.350002396E0	-2.662498474E-1
1.390002728E0	-6.742980480E-1
1.440002827E0	-4.453334808E-2
1.490002727E0	-2.251768112E-1
1.530002727E0	5.007126331E-1
1.580002393E0	4.712089539E-1
1.630002292E0	1.448522568E-1
1.680002691E0	4.443439484E-1
1.730002390E0	-1.955909729E-1
1.780002089E0	-4.481111526E-1
1.830001989E0	-3.826732635E-1
1.880001889E0	-7.962881088E-1
1.920003321E0	6.628084183E-2
1.960003654E0	-6.703317165E-1
2.000003686E0	-2.373008728E-1
2.040003985E0	5.198798180E-1
2.080003985E0	5.247769356E-1
2.120004318E0	-1.017093658E-2
2.160004418E0	2.847309113E-1
2.210004084E0	2.434299469E-1
2.260003416E0	-2.207111359E-1
2.310003082E0	3.009096146E-1
2.360003014E0	-1.894302368E-1
2.400003347E0	1.128411293E-1
2.450002646E0	3.418006897E-2
2.490002812E0	1.796207428E-1
2.540002144E0	1.476562500E-1
2.580003110E0	-1.940982342E-1
2.620003443E0	-3.366115093E-1
2.660003509E0	1.846456528E-1
2.710002908E0	-1.061702728E-1
2.750003440E0	-2.189428806E-1
2.800003273E0	-9.616222382E-2
2.840003606E0	8.954071999E-2
2.890003372E0	-5.847339630E-2
2.940003038E0	-1.059036255E-1
2.980003471E0	-6.994247437E-2
3.030003304E0	7.448596954E-2
3.070003304E0	-1.792750359E-1
3.120002869E0	1.707115173E-2
3.170002802E0	3.772754669E-2
3.211045788E0	-9.295296669E-2
3.251045854E0	1.804208755E-1
3.301045687E0	-1.214139938E-1
3.341045687E0	-4.643630981E-2
3.381045753E0	7.512807846E-3
3.421045852E0	-1.114342213E-1
3.461045852E0	1.920342445E-2
3.501046018E0	3.435587883E-2
3.541046317E0	-1.338412762E-1
3.581046650E0	7.590961456E-2
3.621046983E0	9.827041626E-2
3.671046916E0	-1.541543961E-1
3.711046916E0	2.936315536E-2
3.761046449E0	7.410621643E-2
3.811046282E0	-7.267208099E-2
3.861046281E0	-1.196882248E-1
3.901046281E0	8.591818810E-2
3.951045947E0	-9.734306335E-2
3.991046113E0	-7.532215118E-2
4.031046579E0	1.663494110E-1
4.071046579E0	6.037068367E-2
4.111046912E0	-1.596176624E-1
4.151046912E0	6.635260582E-2
4.201046578E0	-4.485149384E-2
4.241046744E0	-1.217989922E-1
4.291046577E0	3.054199219E-2
4.331046577E0	5.306243896E-3
4.371046910E0	-1.132996082E-1
4.421046576E0	-3.764934540E-2
4.461046576E0	8.525514603E-2
4.501046742E0	7.396173477E-2
4.551046575E0	-1.930778503E-1
4.591046575E0	1.062817574E-1
4.631046908E0	-5.130887032E-2
4.681046574E0	-1.760915756E-1
4.721046740E0	1.714205742E-2
4.761046740E0	1.451399326E-1
4.811046573E0	-4.031467438E-2
4.851046573E0	1.097035408E-2
4.891046606E0	7.779598236E-4
4.941046605E0	-9.513912201E-2
4.981046771E0	5.956888199E-3
5.031046604E0	-2.383441925E-2
5.071046604E0	-1.199791431E-1
5.111046937E0	-7.211923599E-3
5.151046937E0	-1.542735100E-2
5.201046569E0	6.463623047E-2
5.241046735E0	-9.195876122E-2
5.291046568E0	-5.407619476E-2
5.331046568E0	-7.946014404E-2
5.371046901E0	-2.191805840E-2
5.421046567E0	1.004447937E-2
5.461046567E0	-7.314682007E-2
5.501046733E0	3.225278854E-2
5.551046566E0	-3.943195343E-2
5.591046566E0	-6.048798561E-2
5.631046899E0	1.176242828E-1
5.681046565E0	3.594722748E-2
5.721046731E0	-1.542205811E-1
5.761046731E0	-2.068161964E-2
5.801046897E0	1.612830162E-2
5.841046897E0	-9.084939957E-2
5.881047197E0	2.750873566E-3
5.931046863E0	1.899719238E-2
5.971047029E0	-6.115055084E-2
6.011047029E0	8.355355263E-2
6.061046862E0	-5.760765076E-2
6.111046861E0	9.865970612E-2
6.151046861E0	-1.550090313E-1
6.201046561E0	9.548072815E-2
6.241046561E0	-1.340396404E-1
6.291046394E0	-1.188732147E-1
6.331046394E0	2.343130112E-2
6.371046727E0	1.252272129E-1
6.421046393E0	-1.228677750E-1
6.461046393E0	9.957599640E-2
6.501046559E0	-8.586168289E-2
6.541046559E0	-2.912902832E-2
6.581046559E0	-2.358961105E-2
6.621046892E0	-3.721737862E-2
6.671046558E0	-3.506259918E-2
6.711046558E0	-5.077672005E-2
6.751046558E0	-3.317523003E-2
6.801046391E0	-5.522575378E-2
6.841046391E0	4.372119904E-3
6.881046724E0	-1.317334175E-2
6.931046390E0	-6.084899902E-2
6.971046390E0	2.460026741E-2
7.011046390E0	-6.579399109E-3
7.051046390E0	-7.191371918E-2
7.091046390E0	-2.742266655E-2
7.131046723E0	3.104281425E-2
7.181046389E0	8.160037994E-2
7.221046555E0	-7.317352295E-2
7.261046555E0	-8.223152161E-2
7.301046555E0	8.362293243E-3
7.341046555E0	2.508664131E-2
7.381046888E0	-4.056262970E-2
7.431046554E0	-5.457286835E-2
7.471046720E0	-8.361983299E-2
7.511046720E0	6.789088249E-2
7.561046553E0	-5.133361816E-2
7.601046553E0	-1.034986973E-1
7.641046886E0	3.365612030E-2
7.691046552E0	-2.075347900E-2
7.731046718E0	-1.395027637E-1
7.781046551E0	1.284336090E-1
7.821046551E0	-1.454515457E-1
7.861046584E0	1.844739914E-2
7.901046917E0	7.132029533E-2
7.951046583E0	-2.140560150E-2
7.991046749E0	-6.866645813E-2
8.041046582E0	4.158649445E-2
8.081046582E0	5.519771576E-2
8.121046915E0	1.893975735E-1
8.171046881E0	3.362859726E-1
8.221046547E0	5.110485077E-1
8.271045946E0	-3.425025940E-3
8.311045946E0	2.435994148E-2
8.351045946E0	6.416642666E-1
8.391046279E0	8.422636986E-1
8.441046278E0	4.509401321E-1
8.481046444E0	5.079178810E-1
8.521046444E0	2.496979237E-1
8.561046877E0	5.046567917E-1
8.601046877E0	9.986648560E-1
8.641047210E0	9.464669228E-1
8.691046876E0	1.024806976E-1
8.731047042E0	2.216322422E-1
8.781046541E0	6.251260757E-1
8.821046541E0	5.007054806E-1
8.861046874E0	5.356853008E-1
8.901046874E0	5.514869690E-1
8.951046540E0	3.801412582E-1
8.991046706E0	5.720224380E-1
9.041046539E0	6.689851761E-1
9.081046539E0	3.707129955E-1
9.121046872E0	4.323804379E-1
9.171046538E0	6.285465240E-1
9.211046538E0	4.546198845E-1
9.251046704E0	2.640380859E-1
9.301046537E0	6.022941589E-1
9.341046537E0	5.200102329E-1
9.381046870E0	3.873612881E-1
9.431046536E0	3.892185211E-1
9.471046702E0	5.920519829E-1
9.511046702E0	5.355885029E-1
9.561046535E0	5.018207550E-1
9.601046535E0	6.531765461E-1
9.641046868E0	4.876389503E-1
9.691046534E0	4.395000458E-1
9.731046534E0	6.962034702E-1
9.781046367E0	4.422130585E-1
9.821046367E0	3.382244110E-1
9.861046700E0	3.348183632E-1
9.901046700E0	3.119504452E-1
9.951046366E0	3.364971161E-1
9.991046532E0	4.659857750E-1
1.003104653E1	4.960713387E-1
1.007104653E1	9.165692329E-2
1.011104686E1	4.755592346E-2
1.015104687E1	1.069650650E-1
1.020104653E1	2.984132767E-1
1.024104670E1	2.661921978E-1
1.029104653E1	-1.563093185E-1
1.033104653E1	2.085065842E-1
1.037104686E1	3.563094139E-1
1.042104653E1	2.453802109E-1
1.046104653E1	1.210305691E-1
1.050104670E1	-1.172544956E-1
1.055104653E1	-5.406183243E-1
1.059104653E1	-3.120522499E-1
1.063104686E1	1.539936066E-1
1.068104653E1	-2.344882965E-1
1.072104669E1	-5.927610397E-2
1.076104669E1	1.616301537E-1
1.081104653E1	-9.558849335E-2
1.085104653E1	4.194309711E-1
1.089104686E1	3.465549946E-1
1.094104652E1	-3.885063171E-1
1.098104669E1	-5.041670799E-2
1.103104652E1	2.756004333E-2
1.107104652E1	-3.281643391E-1
1.111104686E1	2.612767220E-1
1.115104686E1	3.218581676E-1
1.120104652E1	-3.901052475E-1
1.124104669E1	4.209828377E-2
1.129104652E1	1.984542847E-1
1.133104652E1	3.893613815E-2
1.137104686E1	-1.269962788E-1
1.142104652E1	5.370941162E-2
1.146104652E1	-1.631748676E-1
1.150104669E1	-4.123187065E-2
1.155104652E1	5.887985229E-2
1.159104652E1	-2.592415810E-1
1.163104685E1	-3.094108105E-1
1.168104652E1	3.297260284E-1
1.172104669E1	1.801376343E-1
1.176104668E1	-1.825911999E-1
1.181104652E1	-4.948043823E-2
1.185104652E1	1.654438972E-1
1.189104685E1	2.484824657E-1
1.194104652E1	-1.854549408E-1
1.198104668E1	-1.551492214E-1
1.203104652E1	-2.191009521E-2
1.207104652E1	-3.345627785E-1
1.211104685E1	-5.585622787E-2
1.215104685E1	1.556518078E-1
1.219104685E1	-6.582212448E-2
1.223104702E1	-2.903044224E-1
1.228104685E1	2.624433517E-1
1.232104685E1	-3.242254257E-3
1.236104688E1	2.611351013E-2
1.240104688E1	-1.239113808E-1
1.245104655E1	-6.472263336E-2
1.250104638E1	-2.377634048E-1
1.254104638E1	1.310403347E-1
1.258104638E1	2.538130283E-1
1.262104671E1	-3.445701599E-1
1.267104668E1	-1.374002457E-1
1.271104668E1	4.772930145E-1
1.275104668E1	-7.007098198E-2
1.280104651E1	-2.792720795E-1
1.285104634E1	5.256233215E-2
1.289104668E1	1.977908611E-1
1.294104634E1	1.270978928E-1
1.298104651E1	-9.411001205E-2
1.302104651E1	-4.468035698E-1
1.306104651E1	-2.034268379E-1
1.310104651E1	1.942911148E-1
1.314104684E1	-5.718183517E-2
1.319104651E1	6.553535461E-2
1.323104667E1	2.448110580E-1
1.328104651E1	6.861858368E-2
1.332104651E1	-4.973382950E-1
1.336104684E1	-3.879141808E-2
1.340104717E1	3.876154423E-1
1.345104684E1	-1.154191971E-1
1.349104700E1	-4.828987122E-1
1.354104684E1	-3.301162720E-2
1.358104684E1	2.755270004E-1
1.362104717E1	-1.216619015E-1
1.367104684E1	3.513755798E-2
1.372104667E1	3.127933502E-1
1.376104667E1	-2.698428631E-1
1.381104650E1	-7.681293488E-2
1.385104650E1	-9.348273277E-2
1.389104684E1	-5.706357956E-2
1.394104650E1	1.551151276E-1
1.398104667E1	-5.760025978E-2
1.403104650E1	-3.761590958E-1
1.407104650E1	1.998739243E-1
1.411104683E1	3.689432144E-2
1.415104683E1	-1.551187038E-1
1.420104650E1	1.158508301E-1
1.424104666E1	-2.585604191E-1
1.429104650E1	2.672780991E-1
1.433104650E1	2.907998562E-1
1.437104683E1	-5.026957989E-1
1.442104650E1	-6.313533783E-2
1.446104650E1	1.119995117E-1
1.450104666E1	9.108257294E-2
1.455104650E1	-2.136936188E-2
1.459104650E1	-2.605628967E-2
1.463104683E1	2.688646317E-2
1.468104650E1	-1.637285233E-1
1.472104666E1	-1.309676170E-1
1.476104666E1	-1.839470863E-1
1.481104649E1	5.064888000E-2
1.485104649E1	-5.351114273E-2
1.489104683E1	1.085209846E-2
1.494104649E1	1.133668900E-1
1.498104666E1	-4.799389839E-2
1.502104682E1	2.615604401E-1
1.506104683E1	-9.698796272E-2
